,SUBJECT,SESSION,RUN,trial_in_session
10453,1,14,12,703
10455,1,14,12,705
10463,1,14,12,713
10465,1,14,12,715
10476,1,14,12,726
10480,1,14,12,730
10488,1,14,12,738
10496,1,14,12,746
10504,1,15,1,4
10512,1,15,1,12
10514,1,15,1,14
10526,1,15,1,26
10544,1,15,1,44
10549,1,15,1,49
10556,1,15,1,56
10558,1,15,1,58
10562,1,15,1,62
10563,1,15,2,63
10635,1,15,3,135
10677,1,15,3,177
10678,1,15,3,178
10690,1,15,4,190
10723,1,15,4,223
10726,1,15,4,226
10729,1,15,4,229
10730,1,15,4,230
10736,1,15,4,236
10738,1,15,4,238
10741,1,15,4,241
10770,1,15,5,270
10775,1,15,5,275
10820,1,15,6,320
10827,1,15,6,327
10828,1,15,6,328
10832,1,15,6,332
10833,1,15,6,333
10836,1,15,6,336
10843,1,15,6,343
10848,1,15,6,348
10849,1,15,6,349
10852,1,15,6,352
10853,1,15,6,353
10864,1,15,6,364
10865,1,15,6,365
10886,1,15,7,386
10890,1,15,7,390
10900,1,15,7,400
10908,1,15,7,408
10909,1,15,7,409
10918,1,15,7,418
10919,1,15,7,419
10923,1,15,7,423
10927,1,15,7,427
10961,1,15,8,461
10977,1,15,8,477
10982,1,15,8,482
10986,1,15,8,486
11003,1,15,9,503
11014,1,15,9,514
11018,1,15,9,518
11044,1,15,9,544
11048,1,15,9,548
11073,1,15,10,573
11074,1,15,10,574
11083,1,15,10,583
11085,1,15,10,585
11092,1,15,10,592
11094,1,15,10,594
11100,1,15,10,600
11117,1,15,10,617
11121,1,15,10,621
11126,1,15,11,626
11129,1,15,11,629
11130,1,15,11,630
11134,1,15,11,634
11140,1,15,11,640
11145,1,15,11,645
11146,1,15,11,646
11147,1,15,11,647
11149,1,15,11,649
11156,1,15,11,656
11161,1,15,11,661
11162,1,15,11,662
11167,1,15,11,667
11169,1,15,11,669
11170,1,15,11,670
11172,1,15,11,672
11175,1,15,11,675
11178,1,15,11,678
11182,1,15,11,682
11187,1,15,11,687
11234,1,15,12,734
11244,1,15,12,744
11245,1,15,12,745
11248,1,15,12,748
11252,1,16,1,2
11272,1,16,1,22
11294,1,16,1,44
11301,1,16,1,51
11302,1,16,1,52
11304,1,16,1,54
11309,1,16,1,59
11313,1,16,2,63
11315,1,16,2,65
11321,1,16,2,71
11330,1,16,2,80
11343,1,16,2,93
11350,1,16,2,100
11351,1,16,2,101
11356,1,16,2,106
11372,1,16,2,122
11392,1,16,3,142
11404,1,16,3,154
11422,1,16,3,172
11454,1,16,4,204
11467,1,16,4,217
11473,1,16,4,223
11475,1,16,4,225
11483,1,16,4,233
11485,1,16,4,235
11486,1,16,4,236
11491,1,16,4,241
11495,1,16,4,245
11503,1,16,5,253
11507,1,16,5,257
11513,1,16,5,263
11531,1,16,5,281
11556,1,16,5,306
11557,1,16,5,307
11566,1,16,6,316
11568,1,16,6,318
11574,1,16,6,324
11588,1,16,6,338
11591,1,16,6,341
11600,1,16,6,350
11609,1,16,6,359
11610,1,16,6,360
11616,1,16,6,366
11621,1,16,6,371
11646,1,16,7,396
11681,1,16,7,431
11682,1,16,7,432
11684,1,16,7,434
11696,1,16,8,446
11698,1,16,8,448
11710,1,16,8,460
11721,1,16,8,471
11726,1,16,8,476
11729,1,16,8,479
11744,1,16,8,494
11755,1,16,9,505
11757,1,16,9,507
11760,1,16,9,510
11777,1,16,9,527
11787,1,16,9,537
11794,1,16,9,544
11796,1,16,9,546
11800,1,16,9,550
11811,1,16,9,561
11816,1,16,10,566
